"category","case_name","original_path","new_path","bytes","sha256","input_echo","nps"
"Distance","T04_H25_D04","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T04_H25\T04_H25_D04\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\03_Distance_D\outputs\T04_H25_D04.outp","94941","748EE0B1CE0F301AAB615F65A3666E655E6D018FC9DCE3B4437B287218172EB2","T04_H25_D04.i","500000000"
"Distance","T05_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T05_H25\T05_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\03_Distance_D\outputs\T05_H25_D01.outp","94941","7C9413704F277256CEADE197E284F467CD43FC9E37D63EDB3ACBAD29F2C3138C","T05_H25_D01.i","500000000"
"Distance","T05_H25_D02","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T05_H25\T05_H25_D02\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\03_Distance_D\outputs\T05_H25_D02.outp","94941","9B01682E0EB3C4895E681CA93435ED02261B5F6D266AFFA74D8CFDCDA5025019","T05_H25_D02.i","500000000"
"Distance","T05_H25_D03","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T05_H25\T05_H25_D03\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\03_Distance_D\outputs\T05_H25_D03.outp","94941","E59C7A48925A7177F1847EAF15953AC64318617B34955ACC9EE7D871F63ECBCE","T05_H25_D03.i","500000000"
"Distance","T05_H25_D04","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T05_H25\T05_H25_D04\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\03_Distance_D\outputs\T05_H25_D04.outp","94941","D24E132A35DE536110107B72CBBEAC6977973529CE079BFEBF4A7DFECF31B31B","T05_H25_D04.i","500000000"
"NPS","T04_H25_D01_NPS1E8","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_1E8\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T04_H25_D01_NPS1E8.outp","94941","D72775B0B57B722AB34FE869F04AC7F632CA72878552520F8AD75BB66B1305BD","Disk_D10_1E8.i","100000000"
"NPS","T04_H25_D01_NPS3E8","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_3E8\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T04_H25_D01_NPS3E8.outp","94941","F94764FA5BDDF64EE1C1C98F341B171943151D1BB526D0633936B591355FF8F8","Disk_D10_3E8.i","300000000"
"NPS","T04_H25_D01_NPS5E8","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_5E8\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T04_H25_D01_NPS5E8.outp","94941","888118774DDEDA00A57F3D72F02040B03B658E3F53D663200D64BAA58EE5F4BF","Disk_D10_5E8.i","500000000"
"NPS","T04_H25_D01_NPS7E8","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_7E8\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T04_H25_D01_NPS7E8.outp","95277","8FF1AA2ADFED0A956C74FF9008F293ABF0FF6C0F3F1B89B4D1A6913C9730986C","Disk_D10_7E8.i","700000000"
"NPS","T04_H25_D01_NPS1E9","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_1E9\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T04_H25_D01_NPS1E9.outp","95277","3DC99D5F9DB7C43FBD957AB5EBFB1A1404BFB2263F1D2FB93F130CD1D4BFE44D","Disk_D10_1E9.i","1000000000"
"NPS","T05_H25_D01_NPS1E8","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T05_H25_D01\CaO_SourceCompare_1E8\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T05_H25_D01_NPS1E8.outp","94941","4A120C7620FA76B27CA9CE19C4B47FEE2DB92D7EC827294D02CD5ADE48351BA4","Disk_D10_1E8.i","100000000"
"NPS","T05_H25_D01_NPS3E8","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T05_H25_D01\CaO_SourceCompare_3E8\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T05_H25_D01_NPS3E8.outp","94941","45510557868AF51BCB9D2E705DF9B6D4514C348C2AADC7DD5FF94FC1F51D6B49","Disk_D10_3E8.i","300000000"
"NPS","T05_H25_D01_NPS5E8","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T05_H25_D01\CaO_SourceCompare_5E8\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T05_H25_D01_NPS5E8.outp","94941","B52D29E559F1506B948D2376B78E161C9088AAD7133002028BE84F87942217DB","Disk_D10_5E8.i","500000000"
"NPS","T05_H25_D01_NPS7E8","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T05_H25_D01\CaO_SourceCompare_7E8\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T05_H25_D01_NPS7E8.outp","95111","8A7A783112B5E919EC13F19875D2717EF0ADCD1153B67090E26723E0B3F997E3","Disk_D10_7E8.i","700000000"
"NPS","T05_H25_D01_NPS1E9","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T05_H25_D01\CaO_SourceCompare_1E9\Disk_D10\output\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\04_NPS_Convergence\outputs\T05_H25_D01_NPS1E9.outp","95111","3CEB6D32E56865764B5ECF0DC27A53F1EF793E56096234BCF28B088FA9BAAC67","Disk_D10_1E9.i","1000000000"
"Detector","D50H75_PTFE_Al_D5075_NPS5E8","F:\东华理工大学研究生\MCNP\mcnp5\H2O\data\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\05_Detector_Geometry\outputs\D50H75_PTFE_Al_D5075_NPS5E8.outp","103808","394B3F553C7B932440476179C906CC834CE09E25025AB1CA081EA7E761262BCF","D5075.i","500000000"
"Detector","D50H75_PTFE_Al_A5075_NPS1E8","F:\东华理工大学研究生\MCNP\mcnp5\H2O\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\05_Detector_Geometry\outputs\D50H75_PTFE_Al_A5075_NPS1E8.outp","103622","0A2A8ACE784D589A6C5337F3E5344BA26C8E74C7472B86EFCB76041D5AD9A756","A5075.i","100000000"
