Energy_MeV,F8 脉冲高度响应,Relative_Error
2.85,2.17857e-06,0.0256
2.86,2.08857e-06,0.0262
2.87,2.02857e-06,0.0265
2.88,2.03143e-06,0.0265
2.89,1.97e-06,0.0269
2.9,2.06286e-06,0.0263
2.91,2.01286e-06,0.0266
2.92,2.03571e-06,0.0265
2.93,1.99857e-06,0.0267
2.94,1.98429e-06,0.0268
2.95,1.96714e-06,0.0269
2.96,1.99571e-06,0.0268
2.97,2.15429e-06,0.0258
2.98,2.14286e-06,0.0258
2.99,2.31429e-06,0.0248
3,2.39714e-06,0.0244
3.01,2.38571e-06,0.0245
3.02,2.19286e-06,0.0255
3.03,2.04714e-06,0.0264
3.04,1.98857e-06,0.0268
3.05,1.84571e-06,0.0278
3.06,1.92571e-06,0.0272
3.07,1.81e-06,0.0281
3.08,1.83571e-06,0.0279
3.09,1.74e-06,0.0287
3.1,1.84143e-06,0.0279
3.11,1.73143e-06,0.0287
3.12,1.87857e-06,0.0276
3.13,1.85143e-06,0.0278
3.14,1.95429e-06,0.027
3.15,2.12e-06,0.026
3.16,2.26143e-06,0.0251
3.17,2.33429e-06,0.0247
3.18,2.37714e-06,0.0245
3.19,2.46857e-06,0.0241
3.2,2.49429e-06,0.0239
3.21,2.55571e-06,0.0236
3.22,2.56571e-06,0.0236
3.23,2.65143e-06,0.0232
3.24,2.51571e-06,0.0238
3.25,2.53143e-06,0.0238
3.26,2.40429e-06,0.0244
3.27,2.17143e-06,0.0256
3.28,2.06143e-06,0.0263
3.29,2.03286e-06,0.0265
3.3,1.80571e-06,0.0281
3.31,1.94857e-06,0.0271
3.32,1.90571e-06,0.0274
3.33,2.03714e-06,0.0265
3.34,1.98e-06,0.0269
3.35,2.03571e-06,0.0265
3.36,1.99857e-06,0.0267
3.37,2.03714e-06,0.0265
3.38,2.11571e-06,0.026
3.39,2.24714e-06,0.0252
3.4,2.25571e-06,0.0252
3.41,2.25714e-06,0.0252
3.42,2.11143e-06,0.026
3.43,2.34714e-06,0.0247
3.44,2.11571e-06,0.026
3.45,2.16143e-06,0.0257
3.46,1.97429e-06,0.0269
3.47,1.91286e-06,0.0273
3.48,1.78286e-06,0.0283
3.49,1.83714e-06,0.0279
3.5,1.61143e-06,0.0298
3.51,1.69857e-06,0.029
3.52,1.56714e-06,0.0302
3.53,1.51857e-06,0.0307
3.54,1.57143e-06,0.0302
3.55,1.53143e-06,0.0305
3.56,1.48286e-06,0.031
3.57,1.48e-06,0.0311
3.58,1.52571e-06,0.0306
3.59,1.50143e-06,0.0308
3.6,1.43286e-06,0.0316
3.61,1.52429e-06,0.0306
3.62,1.49857e-06,0.0309
3.63,1.66286e-06,0.0293
3.64,1.64e-06,0.0295
3.65,1.74571e-06,0.0286
3.66,1.76286e-06,0.0285
3.67,1.87571e-06,0.0276
3.68,2.14143e-06,0.0258
3.69,2.22143e-06,0.0254
3.7,2.18571e-06,0.0256
3.71,2.22714e-06,0.0253
3.72,2.19143e-06,0.0255
3.73,2.35143e-06,0.0246
3.74,2.40571e-06,0.0244
3.75,2.36429e-06,0.0246
3.76,2.37286e-06,0.0245
3.77,2.10571e-06,0.026
3.78,1.82571e-06,0.028
3.79,1.61429e-06,0.0297
3.8,1.44143e-06,0.0315
3.81,1.27429e-06,0.0335
3.82,1.25714e-06,0.0337
3.83,1.24571e-06,0.0339
3.84,1.28857e-06,0.0333
3.85,1.34714e-06,0.0326
3.86,1.37429e-06,0.0322
3.87,1.47e-06,0.0312
3.88,1.46857e-06,0.0312
3.89,1.45857e-06,0.0313
3.9,1.54286e-06,0.0304
3.91,1.67286e-06,0.0292
3.92,1.67e-06,0.0292
3.93,1.75e-06,0.0286
3.94,1.65714e-06,0.0294
3.95,1.48429e-06,0.031
3.96,1.39714e-06,0.032
3.97,1.2e-06,0.0345
3.98,1.05429e-06,0.0368
3.99,1.01286e-06,0.0376
4,9.5e-07,0.0388
4.01,8.74286e-07,0.0404
4.02,9.47143e-07,0.0388
4.03,9.21429e-07,0.0394
4.04,8.9e-07,0.0401
4.05,7.91429e-07,0.0425
4.06,9.6e-07,0.0386
4.07,8.58571e-07,0.0408
4.08,8.31429e-07,0.0415
4.09,8.61429e-07,0.0407
4.1,8.94286e-07,0.04
4.11,8.72857e-07,0.0405
4.12,9.25714e-07,0.0393
4.13,8.71429e-07,0.0405
4.14,9.47143e-07,0.0388
4.15,9.85714e-07,0.0381
4.16,9.64286e-07,0.0385
4.17,9.22857e-07,0.0393
4.18,9.85714e-07,0.0381
4.19,9.64286e-07,0.0385
4.2,9.57143e-07,0.0386
4.21,8.88571e-07,0.0401
4.22,9.04286e-07,0.0397
4.23,8.4e-07,0.0412
4.24,8.3e-07,0.0415
4.25,7.88571e-07,0.0426
4.26,8.12857e-07,0.0419
4.27,8.31429e-07,0.0415
4.28,7.7e-07,0.0431
4.29,7.58571e-07,0.0434
4.3,7.82857e-07,0.0427
4.31,7.55714e-07,0.0435
4.32,7.88571e-07,0.0426
4.33,8.02857e-07,0.0422
4.34,7.58571e-07,0.0434
4.35,7.45714e-07,0.0438
4.36,7.52857e-07,0.0436
4.37,8e-07,0.0423
4.38,7.75714e-07,0.0429
4.39,8.31429e-07,0.0415
4.4,8.55714e-07,0.0409
4.41,9.44286e-07,0.0389
4.42,9.71429e-07,0.0383
4.43,9.02857e-07,0.0398
4.44,1.03857e-06,0.0371
4.45,9.92857e-07,0.0379
4.46,9.61429e-07,0.0385
4.47,9.21429e-07,0.0394
4.48,9.28571e-07,0.0392
4.49,8.48571e-07,0.041
4.5,7.8e-07,0.0428
4.51,7.94286e-07,0.0424
4.52,7.91429e-07,0.0425
4.53,6.95714e-07,0.0453
4.54,7.42857e-07,0.0439
4.55,7.42857e-07,0.0439
4.56,7.7e-07,0.0431
4.57,7.67143e-07,0.0432
4.58,7.27143e-07,0.0443
4.59,7.28571e-07,0.0443
4.6,8.07143e-07,0.0421
4.61,7.87143e-07,0.0426
4.62,8.05714e-07,0.0421
4.63,7.85714e-07,0.0426
4.64,7.7e-07,0.0431
4.65,8.08571e-07,0.042
4.66,7.87143e-07,0.0426
4.67,7.52857e-07,0.0436
4.68,7.52857e-07,0.0436
4.69,7.45714e-07,0.0438
4.7,7.98571e-07,0.0423
4.71,7.68571e-07,0.0431
4.72,6.74286e-07,0.046
4.73,7.51429e-07,0.0436
4.74,6.95714e-07,0.0453
4.75,7.27143e-07,0.0443
4.76,7.51429e-07,0.0436
4.77,6.95714e-07,0.0453
4.78,6.97143e-07,0.0453
4.79,6.85714e-07,0.0456
4.8,7.41429e-07,0.0439
4.81,7.48571e-07,0.0437
4.82,7.77143e-07,0.0429
4.83,6.82857e-07,0.0457
4.84,7.42857e-07,0.0439
4.85,7.42857e-07,0.0439
4.86,7.28571e-07,0.0443
4.87,6.48571e-07,0.0469
4.88,7.14286e-07,0.0447
4.89,7.31429e-07,0.0442
4.9,8.14286e-07,0.0419
4.91,7.81429e-07,0.0428
4.92,8.22857e-07,0.0417
4.93,7.47143e-07,0.0437
4.94,7.28571e-07,0.0443
4.95,7.3e-07,0.0442
4.96,7.5e-07,0.0436
4.97,7.54286e-07,0.0435
4.98,7.02857e-07,0.0451
4.99,7.25714e-07,0.0444
5,7.02857e-07,0.0451
5.01,7.07143e-07,0.0449
5.02,6.64286e-07,0.0464
5.03,6.71429e-07,0.0461
5.04,7.34286e-07,0.0441
5.05,7.54286e-07,0.0435
5.06,8.37143e-07,0.0413
5.07,8.72857e-07,0.0405
5.08,1.04e-06,0.0371
5.09,1.06286e-06,0.0367
5.1,1.27429e-06,0.0335
5.11,1.42857e-06,0.0316
5.12,1.41143e-06,0.0318
5.13,1.24143e-06,0.0339
5.14,1.14286e-06,0.0354
5.15,1.08e-06,0.0364
5.16,1.03857e-06,0.0371
5.17,9.48571e-07,0.0388
5.18,9.05714e-07,0.0397
5.19,9.37143e-07,0.039
5.2,8.74286e-07,0.0404
5.21,8.52857e-07,0.0409
5.22,8.05714e-07,0.0421
5.23,9.15714e-07,0.0395
5.24,9.52857e-07,0.0387
5.25,8.58571e-07,0.0408
5.26,9e-07,0.0398
5.27,8.85714e-07,0.0402
5.28,8.32857e-07,0.0414
5.29,8.64286e-07,0.0407
5.3,8.95714e-07,0.0399
5.31,8.8e-07,0.0403
5.32,8.57143e-07,0.0408
5.33,8.34286e-07,0.0414
5.34,7.7e-07,0.0431
5.35,7.37143e-07,0.044
5.36,8e-07,0.0423
5.37,8.4e-07,0.0412
5.38,8.77143e-07,0.0404
5.39,8.2e-07,0.0417
5.4,8.07143e-07,0.0421
5.41,8.44286e-07,0.0411
5.42,8.28571e-07,0.0415
5.43,8.35714e-07,0.0413
5.44,7.32857e-07,0.0442
5.45,7.48571e-07,0.0437
5.46,7.82857e-07,0.0427
5.47,7.97143e-07,0.0423
5.48,6.84286e-07,0.0457
5.49,7.32857e-07,0.0442
5.5,6.94286e-07,0.0454
5.51,6.82857e-07,0.0457
5.52,6.41429e-07,0.0472
5.53,6.71429e-07,0.0461
5.54,6.92857e-07,0.0454
5.55,7.11429e-07,0.0448
5.56,7.85714e-07,0.0426
5.57,9.37143e-07,0.039
5.58,1.01429e-06,0.0375
5.59,1.21571e-06,0.0343
5.6,1.41286e-06,0.0318
5.61,1.62143e-06,0.0297
5.62,1.67714e-06,0.0292
5.63,1.65286e-06,0.0294
5.64,1.55571e-06,0.0303
5.65,1.45286e-06,0.0314
5.66,1.20429e-06,0.0344
5.67,1.12286e-06,0.0357
5.68,9.42857e-07,0.0389
5.69,8.32857e-07,0.0414
5.7,7.45714e-07,0.0438
5.71,7.67143e-07,0.0432
5.72,7.92857e-07,0.0424
5.73,7.37143e-07,0.044
5.74,6.82857e-07,0.0457
5.75,7.21429e-07,0.0445
5.76,7.02857e-07,0.0451
5.77,7.44286e-07,0.0438
5.78,7.01429e-07,0.0451
5.79,6.74286e-07,0.046
5.8,7.3e-07,0.0442
5.81,7.3e-07,0.0442
5.82,7.04286e-07,0.045
5.83,6.91429e-07,0.0455
5.84,6.64286e-07,0.0464
5.85,7.31429e-07,0.0442
5.86,7.55714e-07,0.0435
5.87,7.74286e-07,0.043
5.88,7.92857e-07,0.0424
5.89,8.34286e-07,0.0414
5.9,8.58571e-07,0.0408
5.91,8.24286e-07,0.0416
5.92,8.14286e-07,0.0419
5.93,7.87143e-07,0.0426
5.94,7.04286e-07,0.045
5.95,6.91429e-07,0.0455
5.96,6.17143e-07,0.0481
5.97,6.22857e-07,0.0479
5.98,5.44286e-07,0.0512
5.99,5.05714e-07,0.0531
6,4.82857e-07,0.0544
6.01,4.67143e-07,0.0553
6.02,5.27143e-07,0.0521
6.03,4.45714e-07,0.0566
6.04,5.2e-07,0.0524
6.05,5.68571e-07,0.0501
6.06,6.35714e-07,0.0474
6.07,7.05714e-07,0.045
6.08,8.17143e-07,0.0418
6.09,8.95714e-07,0.0399
6.1,1.11429e-06,0.0358
6.11,1.32143e-06,0.0329
6.12,1.43714e-06,0.0315
6.13,1.51714e-06,0.0307
6.14,1.38143e-06,0.0322
6.15,1.28857e-06,0.0333
6.16,1.25143e-06,0.0338
6.17,1.02286e-06,0.0374
6.18,8.71429e-07,0.0405
6.19,6.91429e-07,0.0455
6.2,6.17143e-07,0.0481
6.21,5.4e-07,0.0514
6.22,4.72857e-07,0.055
6.23,5.07143e-07,0.0531
