Energy_MeV,F8 脉冲高度响应,Relative_Error
3.42,2.30333e-06,0.038
3.43,2.29667e-06,0.0381
3.44,2.21333e-06,0.0388
3.45,2.24333e-06,0.0385
3.46,1.95667e-06,0.0413
3.47,1.80333e-06,0.043
3.48,1.68667e-06,0.0445
3.49,1.78333e-06,0.0432
3.5,1.78667e-06,0.0432
3.51,1.69667e-06,0.0443
3.52,1.54333e-06,0.0465
3.53,1.49e-06,0.0473
3.54,1.60667e-06,0.0455
3.55,1.44667e-06,0.048
3.56,1.49667e-06,0.0472
3.57,1.58667e-06,0.0458
3.58,1.49667e-06,0.0472
3.59,1.45e-06,0.0479
3.6,1.57333e-06,0.046
3.61,1.58e-06,0.0459
3.62,1.59e-06,0.0458
3.63,1.52667e-06,0.0467
3.64,1.69e-06,0.0444
3.65,1.61667e-06,0.0454
3.66,1.95667e-06,0.0413
3.67,1.75333e-06,0.0436
3.68,2.16333e-06,0.0393
3.69,2.14e-06,0.0395
3.7,2.26333e-06,0.0384
3.71,2.17667e-06,0.0391
3.72,2.29e-06,0.0382
3.73,2.40333e-06,0.0372
3.74,2.36e-06,0.0376
3.75,2.38667e-06,0.0374
3.76,2.33333e-06,0.0378
3.77,2.04333e-06,0.0404
3.78,1.79667e-06,0.0431
3.79,1.58667e-06,0.0458
3.8,1.41e-06,0.0486
3.81,1.32333e-06,0.0502
3.82,1.29e-06,0.0508
3.83,1.26667e-06,0.0513
3.84,1.32e-06,0.0503
3.85,1.48667e-06,0.0474
3.86,1.33667e-06,0.0499
3.87,1.36333e-06,0.0494
3.88,1.47e-06,0.0476
3.89,1.30667e-06,0.0505
3.9,1.57667e-06,0.046
3.91,1.68e-06,0.0445
3.92,1.72333e-06,0.044
3.93,1.57e-06,0.0461
3.94,1.67e-06,0.0447
3.95,1.50667e-06,0.047
3.96,1.54667e-06,0.0464
3.97,1.24e-06,0.0518
3.98,1.15e-06,0.0538
3.99,9.86667e-07,0.0581
4,9.5e-07,0.0592
4.01,8.4e-07,0.063
4.02,1.04e-06,0.0566
4.03,9.03333e-07,0.0607
4.04,9.36667e-07,0.0597
4.05,8.63333e-07,0.0621
4.06,9.06667e-07,0.0606
4.07,8.8e-07,0.0615
4.08,9.66667e-07,0.0587
4.09,8.8e-07,0.0615
4.1,9.66667e-07,0.0587
4.11,7.7e-07,0.0658
4.12,9.16667e-07,0.0603
4.13,9.93333e-07,0.0579
4.14,9.63333e-07,0.0588
4.15,8.6e-07,0.0623
4.16,9.73333e-07,0.0585
4.17,8.56667e-07,0.0624
4.18,1.00667e-06,0.0575
4.19,8.6e-07,0.0623
4.2,9.53333e-07,0.0591
4.21,7.93333e-07,0.0648
4.22,8.6e-07,0.0623
4.23,8.63333e-07,0.0621
4.24,7.96667e-07,0.0647
4.25,8.5e-07,0.0626
4.26,6.43333e-07,0.072
4.27,8.76667e-07,0.0617
4.28,8.43333e-07,0.0629
4.29,7.2e-07,0.068
4.3,8.5e-07,0.0626
4.31,8.66667e-07,0.062
4.32,8.13333e-07,0.064
4.33,7.96667e-07,0.0647
4.34,7.1e-07,0.0685
4.35,7.66667e-07,0.0659
4.36,6.56667e-07,0.0712
4.37,7.76667e-07,0.0655
4.38,8.43333e-07,0.0629
4.39,8.43333e-07,0.0629
4.4,8.33333e-07,0.0632
4.41,9.2e-07,0.0602
4.42,8.96667e-07,0.061
4.43,9.06667e-07,0.0606
4.44,1.12333e-06,0.0545
4.45,1.02333e-06,0.0571
4.46,1.02667e-06,0.057
4.47,8.5e-07,0.0626
4.48,7.93333e-07,0.0648
4.49,7.4e-07,0.0671
4.5,7.2e-07,0.068
4.51,7.6e-07,0.0662
4.52,7.43333e-07,0.067
4.53,7.7e-07,0.0658
4.54,7.63333e-07,0.0661
4.55,7.26667e-07,0.0677
4.56,7.56667e-07,0.0664
4.57,7.06667e-07,0.0687
4.58,8.1e-07,0.0642
4.59,7.2e-07,0.068
4.6,7.6e-07,0.0662
4.61,7.76667e-07,0.0655
4.62,6.3e-07,0.0727
4.63,7.33333e-07,0.0674
4.64,8.16667e-07,0.0639
4.65,7.7e-07,0.0658
4.66,7.66667e-07,0.0659
4.67,8.36667e-07,0.0631
4.68,7.8e-07,0.0654
4.69,7.83333e-07,0.0652
4.7,8.03333e-07,0.0644
4.71,7.7e-07,0.0658
4.72,7.4e-07,0.0671
4.73,7.5e-07,0.0667
4.74,6.76667e-07,0.0702
4.75,7.83333e-07,0.0652
4.76,6.76667e-07,0.0702
4.77,7.8e-07,0.0654
4.78,6.76667e-07,0.0702
4.79,6.76667e-07,0.0702
4.8,8.6e-07,0.0623
4.81,7.43333e-07,0.067
4.82,7.6e-07,0.0662
4.83,6.7e-07,0.0705
4.84,7.53333e-07,0.0665
4.85,7.16667e-07,0.0682
4.86,6.86667e-07,0.0697
4.87,6.63333e-07,0.0709
4.88,7.56667e-07,0.0664
4.89,7.7e-07,0.0658
4.9,8.26667e-07,0.0635
4.91,7.36667e-07,0.0673
4.92,6.93333e-07,0.0693
4.93,7.83333e-07,0.0652
4.94,9.3e-07,0.0599
4.95,7.46667e-07,0.0668
4.96,7.93333e-07,0.0648
4.97,8.16667e-07,0.0639
4.98,7.03333e-07,0.0688
4.99,8.03333e-07,0.0644
5,7.5e-07,0.0667
5.01,7.43333e-07,0.067
5.02,7.2e-07,0.068
5.03,6.96667e-07,0.0692
5.04,7.96667e-07,0.0647
5.05,7.46667e-07,0.0668
5.06,7.43333e-07,0.067
5.07,9.23333e-07,0.0601
5.08,9.66667e-07,0.0587
5.09,1.11e-06,0.0548
5.1,1.25667e-06,0.0515
5.11,1.38333e-06,0.0491
5.12,1.34e-06,0.0499
5.13,1.31333e-06,0.0504
5.14,1.17667e-06,0.0532
5.15,1.14667e-06,0.0539
5.16,9.66667e-07,0.0587
5.17,1.07e-06,0.0558
5.18,9.53333e-07,0.0591
