Energy_MeV,F8_Response_per_source_neutron,Relative_Error
4.43,8.3e-07,0.1098
4.44,1.07e-06,0.0967
4.45,8.9e-07,0.106
4.46,9.4e-07,0.1031
4.47,9e-07,0.1054
4.48,1.05e-06,0.0976
4.49,8.3e-07,0.1098
4.5,7.9e-07,0.1125
4.51,8.9e-07,0.106
4.52,7.7e-07,0.114
4.53,6.6e-07,0.1231
4.54,7.3e-07,0.117
4.55,6.9e-07,0.1204
4.56,8.2e-07,0.1104
4.57,6.6e-07,0.1231
4.58,6.5e-07,0.124
4.59,7.8e-07,0.1132
4.6,9.5e-07,0.1026
4.61,7.3e-07,0.117
4.62,7e-07,0.1195
4.63,6.2e-07,0.127
4.64,8.6e-07,0.1078
4.65,6.7e-07,0.1222
4.66,6.9e-07,0.1204
4.67,6.7e-07,0.1222
4.68,8.3e-07,0.1098
4.69,5.8e-07,0.1313
4.7,7.8e-07,0.1132
4.71,7.9e-07,0.1125
4.72,5.1e-07,0.14
4.73,8.4e-07,0.1091
4.74,6.3e-07,0.126
4.75,9.4e-07,0.1031
4.76,6.8e-07,0.1213
4.77,5.3e-07,0.1374
4.78,7e-07,0.1195
4.79,5e-07,0.1414
4.8,7.1e-07,0.1187
4.81,7.8e-07,0.1132
4.82,7.8e-07,0.1132
4.83,7.8e-07,0.1132
4.84,6.2e-07,0.127
4.85,7.2e-07,0.1179
4.86,6.9e-07,0.1204
4.87,6.1e-07,0.128
4.88,6.3e-07,0.126
4.89,8.1e-07,0.1111
4.9,8.6e-07,0.1078
4.91,8.1e-07,0.1111
4.92,8.2e-07,0.1104
4.93,7.1e-07,0.1187
4.94,9.3e-07,0.1037
4.95,6.1e-07,0.128
4.96,7.8e-07,0.1132
4.97,8.2e-07,0.1104
4.98,8e-07,0.1118
4.99,6.4e-07,0.125
5,7.9e-07,0.1125
5.01,7.9e-07,0.1125
5.02,6.2e-07,0.127
5.03,7e-07,0.1195
5.04,7.6e-07,0.1147
5.05,7.2e-07,0.1179
5.06,7.8e-07,0.1132
5.07,8.4e-07,0.1091
5.08,1.08e-06,0.0962
5.09,9.9e-07,0.1005
5.1,1.28e-06,0.0884
5.11,1.48e-06,0.0822
5.12,1.42e-06,0.0839
5.13,1.31e-06,0.0874
5.14,1.11e-06,0.0949
5.15,1.18e-06,0.0921
5.16,9.8e-07,0.101
5.17,8.4e-07,0.1091
5.18,7.9e-07,0.1125
5.19,7.8e-07,0.1132
5.2,9.8e-07,0.101
5.21,9.3e-07,0.1037
5.22,8.3e-07,0.1098
5.23,8.3e-07,0.1098
5.24,9.8e-07,0.101
5.25,7.2e-07,0.1179
5.26,7.5e-07,0.1155
5.27,8.7e-07,0.1072
5.28,9.1e-07,0.1048
5.29,8e-07,0.1118
5.3,8.2e-07,0.1104
5.31,7.8e-07,0.1132
5.32,9.7e-07,0.1015
5.33,7.4e-07,0.1162
5.34,7.4e-07,0.1162
5.35,6.6e-07,0.1231
5.36,8.2e-07,0.1104
5.37,9e-07,0.1054
5.38,8.2e-07,0.1104
5.39,8e-07,0.1118
5.4,8.8e-07,0.1066
5.41,7.3e-07,0.117
5.42,8.6e-07,0.1078
5.43,8.1e-07,0.1111
5.44,7.3e-07,0.117
5.45,7.3e-07,0.117
5.46,6.1e-07,0.128
5.47,7.2e-07,0.1179
5.48,6.6e-07,0.1231
5.49,7.5e-07,0.1155
5.5,6.3e-07,0.126
5.51,6.2e-07,0.127
5.52,6.3e-07,0.126
5.53,7.5e-07,0.1155
5.54,7.2e-07,0.1179
5.55,7.2e-07,0.1179
5.56,7.7e-07,0.114
5.57,9.8e-07,0.101
5.58,9.5e-07,0.1026
5.59,1.12e-06,0.0945
5.6,1.51e-06,0.0814
5.61,1.49e-06,0.0819
5.62,1.76e-06,0.0754
5.63,1.74e-06,0.0758
5.64,1.48e-06,0.0822
