Energy_MeV,F8_Response_per_source_neutron,Relative_Error
4.23,8.78e-07,0.0477
4.24,7.96e-07,0.0501
4.25,8.36e-07,0.0489
4.26,7.2e-07,0.0527
4.27,8.8e-07,0.0477
4.28,8.24e-07,0.0493
4.29,7.18e-07,0.0528
4.3,8.18e-07,0.0494
4.31,8.56e-07,0.0483
4.32,7.8e-07,0.0506
4.33,8.04e-07,0.0499
4.34,7.2e-07,0.0527
4.35,7.76e-07,0.0508
4.36,6.94e-07,0.0537
4.37,7.58e-07,0.0514
4.38,8.34e-07,0.049
4.39,8.4e-07,0.0488
4.4,8.28e-07,0.0491
4.41,9.36e-07,0.0462
4.42,9.66e-07,0.0455
4.43,9.58e-07,0.0457
4.44,1.098e-06,0.0427
4.45,1.028e-06,0.0441
4.46,9.88e-07,0.045
4.47,8.76e-07,0.0478
4.48,8.16e-07,0.0495
4.49,7.38e-07,0.0521
4.5,7e-07,0.0535
4.51,7.52e-07,0.0516
4.52,7.14e-07,0.0529
4.53,7.8e-07,0.0506
4.54,7.64e-07,0.0512
4.55,7.4e-07,0.052
4.56,7.48e-07,0.0517
4.57,7.46e-07,0.0518
4.58,8.02e-07,0.0499
4.59,7.32e-07,0.0523
4.6,7.7e-07,0.051
4.61,8.2e-07,0.0494
4.62,7.12e-07,0.053
4.63,7.66e-07,0.0511
4.64,7.86e-07,0.0504
4.65,7.82e-07,0.0506
4.66,7.92e-07,0.0503
4.67,7.96e-07,0.0501
4.68,7.4e-07,0.052
4.69,8.18e-07,0.0494
4.7,7.5e-07,0.0516
4.71,7.36e-07,0.0521
4.72,7.52e-07,0.0516
4.73,7.52e-07,0.0516
4.74,7.36e-07,0.0521
4.75,8.28e-07,0.0491
4.76,6.7e-07,0.0546
4.77,7.92e-07,0.0503
4.78,6.7e-07,0.0546
4.79,6.28e-07,0.0564
4.8,7.98e-07,0.0501
4.81,7.6e-07,0.0513
4.82,7.68e-07,0.051
4.83,6.66e-07,0.0548
4.84,7.04e-07,0.0533
4.85,7.48e-07,0.0517
4.86,6.54e-07,0.0553
4.87,6.7e-07,0.0546
4.88,7.42e-07,0.0519
4.89,6.84e-07,0.0541
4.9,8.02e-07,0.0499
4.91,7.18e-07,0.0528
4.92,7.2e-07,0.0527
4.93,7.88e-07,0.0504
4.94,8.64e-07,0.0481
4.95,7.32e-07,0.0523
4.96,7.9e-07,0.0503
4.97,8.06e-07,0.0498
4.98,7.5e-07,0.0516
4.99,7.88e-07,0.0504
5,7.42e-07,0.0519
5.01,7e-07,0.0535
5.02,6.76e-07,0.0544
5.03,6.98e-07,0.0535
5.04,7.48e-07,0.0517
5.05,7.52e-07,0.0516
5.06,7.82e-07,0.0506
5.07,8.98e-07,0.0472
5.08,9.6e-07,0.0456
5.09,1.15e-06,0.0417
5.1,1.316e-06,0.039
5.11,1.346e-06,0.0385
5.12,1.282e-06,0.0395
5.13,1.312e-06,0.039
5.14,1.19e-06,0.041
5.15,1.114e-06,0.0424
5.16,9.82e-07,0.0451
5.17,1.024e-06,0.0442
5.18,8.9e-07,0.0474
5.19,9.28e-07,0.0464
5.2,8.18e-07,0.0494
5.21,8.94e-07,0.0473
5.22,8.84e-07,0.0476
5.23,8.42e-07,0.0487
5.24,8.86e-07,0.0475
5.25,8.46e-07,0.0486
5.26,8.14e-07,0.0496
5.27,8.78e-07,0.0477
5.28,8.76e-07,0.0478
5.29,8.16e-07,0.0495
5.3,8.44e-07,0.0487
5.31,8.54e-07,0.0484
